Emp_ID,Department,Tenure_Months,Base_Salary,Voluntary_Turnover,Exit_Interview
1000,Engineering,20,66755,No,N/A - Active Employee
1001,Manufacturing,13,105138,No,N/A - Active Employee
1002,Sales,31,111292,No,N/A - Active Employee
1003,Engineering,40,125915,Yes,"The hiring volume is intense, and trainer availability is limited."
1004,Manufacturing,16,111496,No,N/A - Active Employee
1005,Sales,46,76940,No,N/A - Active Employee
1006,Engineering,38,93013,No,N/A - Active Employee
1007,Engineering,10,99941,No,N/A - Active Employee
1008,Manufacturing,56,148554,No,N/A - Active Employee
1009,Manufacturing,3,107927,Yes,"Great team, but the manufacturing shifts are difficult to sustain."
1010,Manufacturing,39,117148,No,N/A - Active Employee
1011,Sales,26,126200,No,N/A - Active Employee
1012,Engineering,39,92601,Yes,"The floor is moving fast, and new hires need more support."
1013,Engineering,46,146800,No,N/A - Active Employee
1014,Manufacturing,41,120741,No,N/A - Active Employee
1015,Manufacturing,39,136344,No,N/A - Active Employee
1016,Manufacturing,50,127429,No,N/A - Active Employee
1017,Manufacturing,42,115936,No,N/A - Active Employee
1018,Engineering,49,62778,No,N/A - Active Employee
1019,Engineering,24,112527,No,N/A - Active Employee
1020,Engineering,12,71655,No,N/A - Active Employee
1021,Manufacturing,14,114286,No,N/A - Active Employee
1022,Sales,37,123125,No,N/A - Active Employee
1023,Sales,32,109066,No,N/A - Active Employee
1024,Engineering,5,87759,No,N/A - Active Employee
1025,Manufacturing,13,65342,No,N/A - Active Employee
1026,Manufacturing,58,120394,No,N/A - Active Employee
1027,Manufacturing,43,122846,No,N/A - Active Employee
1028,Manufacturing,45,103014,No,N/A - Active Employee
1029,Engineering,12,124470,No,N/A - Active Employee
1030,Engineering,4,130120,No,N/A - Active Employee
1031,Sales,18,106123,No,N/A - Active Employee
1032,Manufacturing,51,64290,No,N/A - Active Employee
1033,Manufacturing,30,138334,No,N/A - Active Employee
1034,Manufacturing,47,102006,No,N/A - Active Employee
1035,Manufacturing,29,120519,No,N/A - Active Employee
1036,Manufacturing,29,141982,No,N/A - Active Employee
1037,Manufacturing,36,92639,No,N/A - Active Employee
1038,Manufacturing,57,115979,No,N/A - Active Employee
1039,Engineering,26,61772,No,N/A - Active Employee
1040,Manufacturing,36,139654,Yes,"The floor is moving fast, and new hires need more support."
1041,Engineering,55,65324,No,N/A - Active Employee
1042,Engineering,22,108701,No,N/A - Active Employee
1043,Manufacturing,50,91661,No,N/A - Active Employee
1044,Engineering,32,63220,No,N/A - Active Employee
1045,Engineering,52,101589,No,N/A - Active Employee
1046,Manufacturing,28,144203,No,N/A - Active Employee
1047,Manufacturing,38,75018,No,N/A - Active Employee
1048,Engineering,20,86304,No,N/A - Active Employee
1049,Manufacturing,38,77039,No,N/A - Active Employee
1050,Manufacturing,20,71247,Yes,"Great team, but the manufacturing shifts are difficult to sustain."
1051,Manufacturing,36,80719,Yes,I was not fully trained on the optical assembly workflow.
1052,Engineering,47,111465,No,N/A - Active Employee
1053,Engineering,26,130246,No,N/A - Active Employee
1054,Engineering,26,122127,No,N/A - Active Employee
1055,Engineering,20,129415,No,N/A - Active Employee
1056,Manufacturing,44,124404,Yes,"The hiring volume is intense, and trainer availability is limited."
1057,Manufacturing,35,94464,No,N/A - Active Employee
1058,Manufacturing,31,141022,No,N/A - Active Employee
1059,Manufacturing,2,75512,No,N/A - Active Employee
1060,Engineering,7,122979,No,N/A - Active Employee
1061,Manufacturing,1,69981,Yes,"The floor is moving fast, and new hires need more support."
1062,Manufacturing,51,128902,No,N/A - Active Employee
1063,Engineering,51,67841,Yes,"Great team, but the manufacturing shifts are difficult to sustain."
1064,Engineering,5,79456,No,N/A - Active Employee
1065,Manufacturing,3,95215,No,N/A - Active Employee
1066,Manufacturing,47,122502,No,N/A - Active Employee
1067,Manufacturing,31,64098,No,N/A - Active Employee
1068,Manufacturing,19,83161,No,N/A - Active Employee
1069,Manufacturing,37,90027,No,N/A - Active Employee
1070,Manufacturing,14,125791,No,N/A - Active Employee
1071,Manufacturing,12,146537,No,N/A - Active Employee
1072,Sales,22,115275,No,N/A - Active Employee
1073,Manufacturing,53,105675,No,N/A - Active Employee
1074,Manufacturing,46,90265,No,N/A - Active Employee
1075,Manufacturing,12,134038,No,N/A - Active Employee
1076,Manufacturing,34,69652,No,N/A - Active Employee
1077,Engineering,53,71633,No,N/A - Active Employee
1078,Manufacturing,57,78106,No,N/A - Active Employee
1079,Engineering,46,84127,No,N/A - Active Employee
1080,Engineering,8,101543,No,N/A - Active Employee
1081,Manufacturing,15,145189,No,N/A - Active Employee
1082,Engineering,13,118535,No,N/A - Active Employee
1083,Manufacturing,9,94519,No,N/A - Active Employee
1084,Manufacturing,11,79036,No,N/A - Active Employee
1085,Manufacturing,19,118356,No,N/A - Active Employee
1086,Engineering,33,82782,No,N/A - Active Employee
